Date,Open,High,Low,Close
3-June-2022,56245.60,56432.65,55719.36,55769.23,
6-June-2022,55610.64,55832.28,55295.74,55675.32,
7-June-2022,55373.18,55387.77,54882.41,55107.34,
8-June-2022,55345.51,55423.97,54683.30,54892.49,
9-June-2022,54514.17,55366.84,54507.41,55320.28,
10-June-2022,54760.25,54780.78,54205.99,54303.44,
13-June-2022,53184.61,53207.54,52527.08,52846.70,
14-June-2022,52495.94,53095.32,52459.48,52693.57,
15-June-2022,52650.41,52867.73,52493.36,52541.39,
16-June-2022,53018.91,53142.50,51425.48,51495.79,
17-June-2022,51181.99,51652.83,50921.22,51360.42,
20-June-2022,51470.03,51714.61,51062.93,51597.84,
21-June-2022,51897.60,52799.40,51808.76,52532.07,
22-June-2022,52186.36,52272.85,51739.98,51822.53,
23-June-2022,51972.75,52516.79,51632.85,52265.72,
24-June-2022,52654.24,52909.87,52447.25,52727.98,
27-June-2022,53468.89,53509.50,53120.79,53161.28,
28-June-2022,52846.26,53301.40,52771.53,53177.45,
29-June-2022,52623.15,53244.84,52612.68,53026.97,
30-June-2022,52897.16,53377.54,52883.25,53018.94,
1-July-2022,52863.34,53053.04,52094.25,52907.93,
4-July-2022,52851.67,53301.99,52674.81,53234.77,
5-July-2022,53501.21,53865.93,53054.30,53134.35,
6-July-2022,53170.70,53819.31,53143.28,53750.97,
7-July-2022,54146.68,54254.79,53927.26,54178.46,
8-July-2022,54574.43,54627.14,54278.77,54481.84,
11-July-2022,54248.60,54527.90,54090.53,54395.23,
12-July-2022,54219.78,54236.49,53824.97,53886.61,
13-July-2022,54210.10,54211.22,53455.26,53514.15,
14-July-2022,53688.62,53861.28,53163.77,53416.15,
15-July-2022,53637.88,53811.37,53361.62,53760.78,
18-July-2022,54069.30,54556.66,54034.97,54521.15,
19-July-2022,54251.88,54817.52,54232.82,54767.62,
20-July-2022,55486.12,55630.26,55298.23,55397.53,
21-July-2022,55391.93,55738.49,55270.75,55681.95,
22-July-2022,55800.84,56186.05,55685.45,56072.23,
25-July-2022,55877.50,56018.09,55537.08,55766.22,
26-July-2022,55834.38,55834.38,55203.43,55268.49,
27-July-2022,55258.29,55853.09,55157.99,55816.32,
28-July-2022,56267.55,56914.22,56236.45,56857.79,
29-July-2022,57258.13,57619.27,57104.81,57570.25,
1-August-2022,57823.10,58170.67,57540.36,58115.50,
2-August-2022,58049.02,58328.41,57744.70,58136.36,
3-August-2022,58174.11,58415.63,57788.78,58350.53,
4-August-2022,58571.28,58712.66,57577.05,58298.80,
5-August-2022,58421.04,58649.19,58244.86,58387.93,
8-August-2022,58417.71,58934.90,58266.65,58853.07,
10-August-2022,58977.34,58984.32,58583.36,58817.29,
11-August-2022,59320.45,59484.99,59251.14,59332.60,
12-August-2022,59235.98,59538.08,59113.01,59462.78,
16-August-2022,59675.12,59923.03,59673.96,59842.21,
17-August-2022,59938.05,60323.25,59857.80,60260.13,
18-August-2022,60080.19,60341.41,59946.44,60298.00,
19-August-2022,60351.23,60411.20,59474.57,59646.15,
22-August-2022,59361.08,59402.50,58705.11,58773.87,
23-August-2022,58205.97,59199.11,58172.48,59031.30,
